field_name-japanese,field_name-short-code,field_name-jpgis-gml,field_name-camelCase,field_name-snake_case,field_type,field_width,field_precision,ogr-vrt-field-def-short-code-to-snake_case
平成13年公示価格,L01_080,surveyedPriceOfH13,surveyedPriceOfH13,surveyed_price_of_h13,Integer,9,0,"<Field name=""surveyed_price_of_h13"" src=""L01_080"" type=""Integer"" width=""9"" precision=""0"" comment=""平成13年公示価格"" alternativeName=""平成13年公示価格"" />"
平成14年公示価格,L01_081,surveyedPriceOfH14,surveyedPriceOfH14,surveyed_price_of_h14,Integer,9,0,"<Field name=""surveyed_price_of_h14"" src=""L01_081"" type=""Integer"" width=""9"" precision=""0"" comment=""平成14年公示価格"" alternativeName=""平成14年公示価格"" />"
平成15年公示価格,L01_082,surveyedPriceOfH15,surveyedPriceOfH15,surveyed_price_of_h15,Integer,9,0,"<Field name=""surveyed_price_of_h15"" src=""L01_082"" type=""Integer"" width=""9"" precision=""0"" comment=""平成15年公示価格"" alternativeName=""平成15年公示価格"" />"
平成16年公示価格,L01_083,surveyedPriceOfH16,surveyedPriceOfH16,surveyed_price_of_h16,Integer,9,0,"<Field name=""surveyed_price_of_h16"" src=""L01_083"" type=""Integer"" width=""9"" precision=""0"" comment=""平成16年公示価格"" alternativeName=""平成16年公示価格"" />"
平成17年公示価格,L01_084,surveyedPriceOfH17,surveyedPriceOfH17,surveyed_price_of_h17,Integer,9,0,"<Field name=""surveyed_price_of_h17"" src=""L01_084"" type=""Integer"" width=""9"" precision=""0"" comment=""平成17年公示価格"" alternativeName=""平成17年公示価格"" />"
平成18年公示価格,L01_085,surveyedPriceOfH18,surveyedPriceOfH18,surveyed_price_of_h18,Integer,9,0,"<Field name=""surveyed_price_of_h18"" src=""L01_085"" type=""Integer"" width=""9"" precision=""0"" comment=""平成18年公示価格"" alternativeName=""平成18年公示価格"" />"
平成19年公示価格,L01_086,surveyedPriceOfH19,surveyedPriceOfH19,surveyed_price_of_h19,Integer,9,0,"<Field name=""surveyed_price_of_h19"" src=""L01_086"" type=""Integer"" width=""9"" precision=""0"" comment=""平成19年公示価格"" alternativeName=""平成19年公示価格"" />"
平成20年公示価格,L01_087,surveyedPriceOfH20,surveyedPriceOfH20,surveyed_price_of_h20,Integer,9,0,"<Field name=""surveyed_price_of_h20"" src=""L01_087"" type=""Integer"" width=""9"" precision=""0"" comment=""平成20年公示価格"" alternativeName=""平成20年公示価格"" />"
平成21年公示価格,L01_088,surveyedPriceOfH21,surveyedPriceOfH21,surveyed_price_of_h21,Integer,9,0,"<Field name=""surveyed_price_of_h21"" src=""L01_088"" type=""Integer"" width=""9"" precision=""0"" comment=""平成21年公示価格"" alternativeName=""平成21年公示価格"" />"
平成22年公示価格,L01_089,surveyedPriceOfH22,surveyedPriceOfH22,surveyed_price_of_h22,Integer,9,0,"<Field name=""surveyed_price_of_h22"" src=""L01_089"" type=""Integer"" width=""9"" precision=""0"" comment=""平成22年公示価格"" alternativeName=""平成22年公示価格"" />"
平成23年公示価格,L01_090,surveyedPriceOfH23,surveyedPriceOfH23,surveyed_price_of_h23,Integer,9,0,"<Field name=""surveyed_price_of_h23"" src=""L01_090"" type=""Integer"" width=""9"" precision=""0"" comment=""平成23年公示価格"" alternativeName=""平成23年公示価格"" />"
平成24年公示価格,L01_091,surveyedPriceOfH24,surveyedPriceOfH24,surveyed_price_of_h24,Integer,9,0,"<Field name=""surveyed_price_of_h24"" src=""L01_091"" type=""Integer"" width=""9"" precision=""0"" comment=""平成24年公示価格"" alternativeName=""平成24年公示価格"" />"
平成25年公示価格,L01_092,surveyedPriceOfH25,surveyedPriceOfH25,surveyed_price_of_h25,Integer,9,0,"<Field name=""surveyed_price_of_h25"" src=""L01_092"" type=""Integer"" width=""9"" precision=""0"" comment=""平成25年公示価格"" alternativeName=""平成25年公示価格"" />"
平成26年公示価格,L01_093,surveyedPriceOfH26,surveyedPriceOfH26,surveyed_price_of_h26,Integer,9,0,"<Field name=""surveyed_price_of_h26"" src=""L01_093"" type=""Integer"" width=""9"" precision=""0"" comment=""平成26年公示価格"" alternativeName=""平成26年公示価格"" />"
平成27年公示価格,L01_094,surveyedPriceOfH27,surveyedPriceOfH27,surveyed_price_of_h27,Integer,9,0,"<Field name=""surveyed_price_of_h27"" src=""L01_094"" type=""Integer"" width=""9"" precision=""0"" comment=""平成27年公示価格"" alternativeName=""平成27年公示価格"" />"
平成28年公示価格,L01_095,surveyedPriceOfH28,surveyedPriceOfH28,surveyed_price_of_h28,Integer,9,0,"<Field name=""surveyed_price_of_h28"" src=""L01_095"" type=""Integer"" width=""9"" precision=""0"" comment=""平成28年公示価格"" alternativeName=""平成28年公示価格"" />"
平成29年公示価格,L01_096,surveyedPriceOfH29,surveyedPriceOfH29,surveyed_price_of_h29,Integer,9,0,"<Field name=""surveyed_price_of_h29"" src=""L01_096"" type=""Integer"" width=""9"" precision=""0"" comment=""平成29年公示価格"" alternativeName=""平成29年公示価格"" />"
